"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U104,U103";"691321100003";2;"691321100003";;;
2;"Q201,Q202,Q301,Q302";"SOT323-R";4;"BSS138W";;;
3;"U201,U301";"SN74LVC1G14DCKR";2;"SN74LVC1G14DCKR";;;
4;"U203,U303,U102";"SN74LVC1G14DCKR";3;"SN74LVC1G08DCKR";;;
5;"S102,S101";"CL-SB-12B";2;"CL-SB-12B-01T";;;
6;"U101";"ISO7741FDWR";1;"ISO7741FDWR";;;
7;"D204,D304";"SM15T15CA";2;"D_TVS_ALT";;;
8;"ERR_In101,Relay_Off_Output101";"1-1337543-0";2;"BNC_Input_female";;;
9;"SW201,SW301";"TP11SH8CQE";2;"SW_Push";;;
10;"C105,C106,C201,C301,C101";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";5;"0.1u";;;
11;"C107,C110,C111,C103";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"4.7u";;;
12;"D201,D203,D301,D303";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"LTST-C150KRKT";;;
13;"D202,D302";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LTST-C150KGKT";;;
14;"R101,R102,R103";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"10k";;;
15;"R201,R202,R204,R301,R302,R304";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"1k";;;
16;"R203,R303";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100k";;;
17;"U202,U302";"SR4D4005";2;"SR4D4005";;;
18;"VT102,VT101";"VREG_NXJ1S0505MC-R7";2;"NXJ1S0505MC-R7";;;
19;"C109";"CP_Radial_D8.0mm_P3.50mm";1;"47u";;;
20;"C102,C104";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"2.2u";;;
21;"L101,L103";"VLCF4024T-4R7N1R4-2";2;"4.7u";;;
22;"L102,L104";"VLCF4024T-4R7N1R4-2";2;"10u";;;
